timestamp,total_seconds_elapsed,movement,status
Mon Jan  1 00:00:00 1900,0,False,True
Mon Jan  1 00:00:30 1900,30,False,True
Mon Jan  1 00:01:00 1900,60,False,True
Mon Jan  1 00:01:30 1900,90,False,True
Mon Jan  1 00:02:00 1900,120,False,True
Mon Jan  1 00:02:30 1900,150,False,True
Mon Jan  1 00:03:00 1900,180,False,True
Mon Jan  1 00:03:30 1900,210,False,True
Mon Jan  1 00:04:00 1900,240,False,True
Mon Jan  1 00:04:30 1900,270,False,True
Mon Jan  1 00:05:00 1900,300,False,True
Mon Jan  1 00:05:30 1900,330,False,False
Mon Jan  1 00:06:00 1900,360,False,False
Mon Jan  1 00:06:30 1900,390,False,False
Mon Jan  1 00:07:00 1900,420,False,False
Mon Jan  1 00:07:30 1900,450,False,False
Mon Jan  1 00:08:00 1900,480,False,False
Mon Jan  1 00:08:30 1900,510,False,False
Mon Jan  1 00:09:00 1900,540,False,False
Mon Jan  1 00:09:30 1900,570,False,False
Mon Jan  1 00:10:00 1900,600,False,False
Mon Jan  1 00:10:30 1900,630,False,False
Mon Jan  1 00:11:00 1900,660,False,False
Mon Jan  1 00:11:30 1900,690,False,False
Mon Jan  1 00:12:00 1900,720,False,False
Mon Jan  1 00:12:30 1900,750,False,False
Mon Jan  1 00:13:00 1900,780,False,False
Mon Jan  1 00:13:30 1900,810,False,False
Mon Jan  1 00:14:00 1900,840,False,False
Mon Jan  1 00:14:30 1900,870,False,False
Mon Jan  1 00:15:00 1900,900,False,False
Mon Jan  1 00:15:30 1900,930,False,False
Mon Jan  1 00:16:00 1900,960,False,False
Mon Jan  1 00:16:30 1900,990,False,False
Mon Jan  1 00:17:00 1900,1020,False,False
Mon Jan  1 00:17:30 1900,1050,False,False
Mon Jan  1 00:18:00 1900,1080,False,False
Mon Jan  1 00:18:30 1900,1110,False,False
Mon Jan  1 00:19:00 1900,1140,False,False
Mon Jan  1 00:19:30 1900,1170,False,False
Mon Jan  1 00:20:00 1900,1200,False,False
Mon Jan  1 00:20:30 1900,1230,False,False
Mon Jan  1 00:21:00 1900,1260,False,False
Mon Jan  1 00:21:30 1900,1290,False,False
Mon Jan  1 00:22:00 1900,1320,False,False
Mon Jan  1 00:22:30 1900,1350,False,False
Mon Jan  1 00:23:00 1900,1380,False,False
Mon Jan  1 00:23:30 1900,1410,False,False
Mon Jan  1 00:24:00 1900,1440,False,False
Mon Jan  1 00:24:30 1900,1470,False,False
Mon Jan  1 00:25:00 1900,1500,False,False
Mon Jan  1 00:25:30 1900,1530,False,False
Mon Jan  1 00:26:00 1900,1560,False,False
Mon Jan  1 00:26:30 1900,1590,False,False
Mon Jan  1 00:27:00 1900,1620,False,False
Mon Jan  1 00:27:30 1900,1650,False,False
Mon Jan  1 00:28:00 1900,1680,False,False
Mon Jan  1 00:28:30 1900,1710,False,False
Mon Jan  1 00:29:00 1900,1740,False,False
Mon Jan  1 00:29:30 1900,1770,False,False
Mon Jan  1 00:30:00 1900,1800,False,False
Mon Jan  1 00:30:30 1900,1830,False,False
Mon Jan  1 00:31:00 1900,1860,False,False
Mon Jan  1 00:31:30 1900,1890,False,False
Mon Jan  1 00:32:00 1900,1920,False,False
Mon Jan  1 00:32:30 1900,1950,False,False
Mon Jan  1 00:33:00 1900,1980,False,False
Mon Jan  1 00:33:30 1900,2010,False,False
Mon Jan  1 00:34:00 1900,2040,False,False
Mon Jan  1 00:34:30 1900,2070,False,False
Mon Jan  1 00:35:00 1900,2100,False,False
Mon Jan  1 00:35:30 1900,2130,False,False
Mon Jan  1 00:36:00 1900,2160,False,False
Mon Jan  1 00:36:30 1900,2190,False,False
Mon Jan  1 00:37:00 1900,2220,False,False
Mon Jan  1 00:37:30 1900,2250,False,False
Mon Jan  1 00:38:00 1900,2280,False,False
Mon Jan  1 00:38:30 1900,2310,False,False
Mon Jan  1 00:39:00 1900,2340,False,False
Mon Jan  1 00:39:30 1900,2370,False,False
Mon Jan  1 00:40:00 1900,2400,False,False
Mon Jan  1 00:40:30 1900,2430,False,False
Mon Jan  1 00:41:00 1900,2460,False,False
Mon Jan  1 00:41:30 1900,2490,False,False
Mon Jan  1 00:42:00 1900,2520,False,False
Mon Jan  1 00:42:30 1900,2550,False,False
Mon Jan  1 00:43:00 1900,2580,False,False
Mon Jan  1 00:43:30 1900,2610,False,False
Mon Jan  1 00:44:00 1900,2640,False,False
Mon Jan  1 00:44:30 1900,2670,False,False
Mon Jan  1 00:45:00 1900,2700,False,False
Mon Jan  1 00:45:30 1900,2730,False,False
Mon Jan  1 00:46:00 1900,2760,False,False
Mon Jan  1 00:46:30 1900,2790,False,False
Mon Jan  1 00:47:00 1900,2820,False,False
Mon Jan  1 00:47:30 1900,2850,False,False
Mon Jan  1 00:48:00 1900,2880,False,False
Mon Jan  1 00:48:30 1900,2910,False,False
Mon Jan  1 00:49:00 1900,2940,False,False
Mon Jan  1 00:49:30 1900,2970,False,False
Mon Jan  1 00:50:00 1900,3000,False,False
Mon Jan  1 00:50:30 1900,3030,False,False
Mon Jan  1 00:51:00 1900,3060,False,False
Mon Jan  1 00:51:30 1900,3090,False,False
Mon Jan  1 00:52:00 1900,3120,False,False
Mon Jan  1 00:52:30 1900,3150,False,False
Mon Jan  1 00:53:00 1900,3180,False,False
Mon Jan  1 00:53:30 1900,3210,False,False
Mon Jan  1 00:54:00 1900,3240,False,False
Mon Jan  1 00:54:30 1900,3270,False,False
Mon Jan  1 00:55:00 1900,3300,False,False
Mon Jan  1 00:55:30 1900,3330,False,False
Mon Jan  1 00:56:00 1900,3360,False,False
Mon Jan  1 00:56:30 1900,3390,False,False
Mon Jan  1 00:57:00 1900,3420,False,False
Mon Jan  1 00:57:30 1900,3450,False,False
Mon Jan  1 00:58:00 1900,3480,False,False
Mon Jan  1 00:58:30 1900,3510,False,False
Mon Jan  1 00:59:00 1900,3540,False,False
Mon Jan  1 00:59:30 1900,3570,False,False
Mon Jan  1 01:00:00 1900,3600,False,False
Mon Jan  1 01:00:30 1900,3630,False,False
Mon Jan  1 01:01:00 1900,3660,False,False
Mon Jan  1 01:01:30 1900,3690,False,False
Mon Jan  1 01:02:00 1900,3720,False,False
Mon Jan  1 01:02:30 1900,3750,False,False
Mon Jan  1 01:03:00 1900,3780,False,False
Mon Jan  1 01:03:30 1900,3810,False,False
Mon Jan  1 01:04:00 1900,3840,False,False
Mon Jan  1 01:04:30 1900,3870,False,False
Mon Jan  1 01:05:00 1900,3900,False,False
Mon Jan  1 01:05:30 1900,3930,False,False
Mon Jan  1 01:06:00 1900,3960,False,False
Mon Jan  1 01:06:30 1900,3990,False,False
Mon Jan  1 01:07:00 1900,4020,False,False
Mon Jan  1 01:07:30 1900,4050,False,False
Mon Jan  1 01:08:00 1900,4080,False,False
Mon Jan  1 01:08:30 1900,4110,False,False
Mon Jan  1 01:09:00 1900,4140,False,False
Mon Jan  1 01:09:30 1900,4170,False,False
Mon Jan  1 01:10:00 1900,4200,False,False
Mon Jan  1 01:10:30 1900,4230,False,False
Mon Jan  1 01:11:00 1900,4260,False,False
Mon Jan  1 01:11:30 1900,4290,False,False
Mon Jan  1 01:12:00 1900,4320,False,False
Mon Jan  1 01:12:30 1900,4350,False,False
Mon Jan  1 01:13:00 1900,4380,False,False
Mon Jan  1 01:13:30 1900,4410,False,False
Mon Jan  1 01:14:00 1900,4440,False,False
Mon Jan  1 01:14:30 1900,4470,False,False
Mon Jan  1 01:15:00 1900,4500,False,False
Mon Jan  1 01:15:30 1900,4530,False,False
Mon Jan  1 01:16:00 1900,4560,False,False
Mon Jan  1 01:16:30 1900,4590,False,False
Mon Jan  1 01:17:00 1900,4620,False,False
Mon Jan  1 01:17:30 1900,4650,False,False
Mon Jan  1 01:18:00 1900,4680,False,False
Mon Jan  1 01:18:30 1900,4710,False,False
Mon Jan  1 01:19:00 1900,4740,False,False
Mon Jan  1 01:19:30 1900,4770,False,False
Mon Jan  1 01:20:00 1900,4800,False,False
Mon Jan  1 01:20:30 1900,4830,False,False
Mon Jan  1 01:21:00 1900,4860,False,False
Mon Jan  1 01:21:30 1900,4890,False,False
Mon Jan  1 01:22:00 1900,4920,False,False
Mon Jan  1 01:22:30 1900,4950,False,False
Mon Jan  1 01:23:00 1900,4980,False,False
Mon Jan  1 01:23:30 1900,5010,False,False
Mon Jan  1 01:24:00 1900,5040,False,False
Mon Jan  1 01:24:30 1900,5070,False,False
Mon Jan  1 01:25:00 1900,5100,False,False
Mon Jan  1 01:25:30 1900,5130,False,False
Mon Jan  1 01:26:00 1900,5160,False,False
Mon Jan  1 01:26:30 1900,5190,False,False
Mon Jan  1 01:27:00 1900,5220,False,False
Mon Jan  1 01:27:30 1900,5250,False,False
Mon Jan  1 01:28:00 1900,5280,False,False
Mon Jan  1 01:28:30 1900,5310,False,False
Mon Jan  1 01:29:00 1900,5340,False,False
